age,anciennete_annees,salaire_mensuel_k,heures_travail_hebdo,score_performance,absences_annuelles,niveau_etude,departement,sexe,churn
66.13711269058646,61.7286123596682,42.68798696555075,75.7036516022993,73.92634115650968,93.68603219163002,Low,Sales,Female,Yes
54.446026682201406,52.906861804206386,57.81346722564964,68.8737148063299,71.24752099663934,68.36563842780512,High,Sales,,No
35.8628550309502,66.92507512477975,79.4121743646375,69.93560204334291,61.81394973339921,76.39653689565351,Low,Tech,Male,Yes
55.94754341665286,52.659801408930186,,74.86376505905938,62.33879169389329,73.38045183058672,Medium,HR,Other,Yes
45.60268941725825,56.467930119855495,53.64442158595597,69.20191542894992,50.859399294125325,89.419424019526,Low,Sales,Other,No
56.337768809320984,62.441919714999365,73.70536143996713,64.94439706351929,67.75146944205149,,High,Sales,Female,No
34.16097176514277,47.27122332176391,65.43479378670094,70.68103205128646,73.89604524091988,77.39857745849297,Low,Tech,Female,Yes
50.405916912038826,59.72406277880377,53.23004861541469,,,90.82116751303568,Low,HR,Male,No
46.40707909212941,59.24061044464089,73.88337778208448,63.37876024520141,86.09520665775973,66.65815151267375,High,HR,Female,Yes
65.42109952567876,42.434931057207436,65.11499575361862,73.56702480242555,74.30862419015037,64.73919155804376,High,Tech,Other,No
47.86557129069792,,75.89838978180684,72.54733298067809,72.56170605694278,70.56736535182097,Low,,Female,No
32.39237240844182,69.87246155335927,80.52972024501663,67.88728003009837,83.99486426972344,64.95709436505747,High,Finance,Other,Yes
52.43800713771199,65.85786324939347,,61.50560672783044,79.82683142769942,87.44565160355256,Low,HR,Female,No
37.90358981308795,58.63631882624968,61.480894197982764,75.35443416416945,58.66169643193646,,Medium,Finance,Other,Yes
55.43298029036388,42.06727042128836,72.78865813313394,55.30256280365326,77.70750209618788,93.67462004161351,Medium,Tech,Male,No
52.08382807947552,63.00409525227683,75.16394055253573,48.10816962032739,49.006437355809744,80.37768190368485,High,Tech,Female,No
40.28385961489349,44.960426279185015,74.8911310832829,55.357999285767555,77.33054281465999,62.144089992439724,Medium,Finance,Other,No
40.79326406920634,44.28946320350951,71.72756845267445,62.08241367741463,74.17465089821295,78.08292063638821,Low,Finance,Other,Yes
62.96994546561109,59.63206292099123,71.92735165416414,72.18417423471641,65.12366579045037,67.8001046677806,Medium,HR,Female,Yes
53.07406697809101,60.646059258936006,64.66545311450128,47.18841585534366,63.1395024296482,68.7132975296914,Medium,Tech,Female,No
67.27543170100711,24.804878441791747,41.3025830030458,58.21356938705897,,,Medium,HR,Other,No
62.81016361735113,61.979032725390276,67.6402978157286,57.67031100876241,79.52478156952806,89.55434483915325,Low,HR,Female,Yes
50.754336389015926,63.95355430762599,51.8698562773987,71.71944607814497,60.186740634825355,77.97227221585086,Medium,Tech,Female,No
